epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,139.065,0.60001,0.83985,1,0.45694,0.000415039,0.000415039,0.000415039
2,287.724,0.24827,0.87079,1,0.35407,0.000790536,0.000790536,0.000790536
3,433.079,0.23451,0.89168,1,0.37718,0.00112478,0.00112478,0.00112478
4,580.265,0.21774,0.8646,1,0.41201,0.00106437,0.00106437,0.00106437
5,730.778,0.17294,0.89323,1,0.35431,0.0010025,0.0010025,0.0010025
6,878.216,0.17457,0.86267,1,0.57123,0.000940625,0.000940625,0.000940625
7,1020.93,0.12702,0.88975,1,0.3284,0.00087875,0.00087875,0.00087875
8,1163.93,0.101,0.89787,1,0.28353,0.000816875,0.000816875,0.000816875
9,1313.65,0.08697,0.89826,1,0.31401,0.000755,0.000755,0.000755
10,1462.92,0.10167,0.86615,1,0.50243,0.000693125,0.000693125,0.000693125
11,1608.06,0.08024,0.87892,1,0.40988,0.00063125,0.00063125,0.00063125
12,1752.01,0.06671,0.8824,1,0.42731,0.000569375,0.000569375,0.000569375
13,1900.91,0.05974,0.87389,1,0.53131,0.0005075,0.0005075,0.0005075
14,2045.79,0.05132,0.88395,1,0.41606,0.000445625,0.000445625,0.000445625
15,2192.85,0.04633,0.89981,1,0.33667,0.00038375,0.00038375,0.00038375
16,2342.78,0.03804,0.88665,1,0.42594,0.000321875,0.000321875,0.000321875
17,2495.08,0.04699,0.88008,1,0.46209,0.00026,0.00026,0.00026
18,2646.81,0.03634,0.89052,1,0.39533,0.000198125,0.000198125,0.000198125
19,2797.73,0.03125,0.89323,1,0.36794,0.00013625,0.00013625,0.00013625
20,2942.16,0.04082,0.89362,1,0.33531,7.4375e-05,7.4375e-05,7.4375e-05
